"id","name","name-2","name-3","name-4"
2,"Men's clothes","Tops","T-shirts","Others"
3,"Men shoes","Sneakers","Sneakers","Others"
4,"Home & living","Furniture","Benches, chairs & stools","Others"
5,"Women clothes","Pants & leggings","Pants","Others"
6,"Beauty","Makeup","Lips","Others"
7,"Men shoes","Sneakers","Girl","Others"
8,"Women clothes","Tops","Tanks & Camisoles","Others"
9,"Women clothes","Tops","Tube Tops","Others"
10,"Women clothes","Tops","T-shirts","Others"
11,"Women clothes","Tops","Bodysuits","Others"
12,"Women clothes","Tops","Others","Others"
13,"Women clothes","Pants & Leggings","Leggings & Treggings","Others"
14,"Women clothes","Pants & Leggings","Pants","Others"
15,"Women clothes","Pants & Leggings","Others","Others"
16,"Women clothes","Shorts","Shorts","Others"
17,"Women clothes","Shorts","Skorts","Others"
18,"Women clothes","Jumpsuits, Playsuits & Overalls","Jumpsuits","Others"
19,"Women clothes","Jumpsuits, Playsuits & Overalls","Playsuits","Others"
20,"Women clothes","Jumpsuits, Playsuits & Overalls","Overall","Others"
21,"Women clothes","Jumpsuits, Playsuits & Overalls","Others","Others"
22,"Women clothes","Jackets, Coats & Vests","Winter Jackets & Coats","Others"
23,"Women clothes","Jackets, Coats & Vests","Capes","Others"
24,"Women clothes","Jackets, Coats & Vests","Blazers","Others"
25,"Women clothes","Jackets, Coats & Vests","Jackets","Others"
26,"Women clothes","Jackets, Coats & Vests","Vests","Others"
27,"Women clothes","Jackets, Coats & Vests","Others","Others"
28,"Women clothes","Sweaters & Cardigans","Sweatshirts","Others"
29,"Women clothes","Sweaters & Cardigans","Hoodies","Others"
30,"Women clothes","Sweaters & Cardigans","Others","Others"
31,"Women clothes","Sets","Couple Sets","Others"
32,"Women clothes","Sets","Family Sets","Others"
33,"Women clothes","Sets","Individual Sets","Others"
34,"Women clothes","Sets","Others","Others"
35,"Women clothes","Lingerie & Underwear","Sets","Others"
36,"Women clothes","Lingerie & Underwear","Bras","Straps"
37,"Women clothes","Lingerie & Underwear","Bras","Paddings"
38,"Women clothes","Lingerie & Underwear","Bras","Nipple Stickers"
39,"Women clothes","Lingerie & Underwear","Bras","Others"
40,"Women clothes","Lingerie & Underwear","Panties","Others"
41,"Women clothes","Lingerie & Underwear","Thermal Innerwear","Others"
42,"Women clothes","Lingerie & Underwear","Bra Accessories","Others"
43,"Women clothes","Lingerie & Underwear","Shapewear","Others"
44,"Women clothes","Lingerie & Underwear","Safety Pants","Others"
45,"Women clothes","Lingerie & Underwear","Sexy Lingerie","Others"
46,"Women clothes","Lingerie & Underwear","Others","Others"
47,"Women clothes","Sleepwear & Pajamas","Pajamas","Others"
48,"Women clothes","Sleepwear & Pajamas","Night Dresses","Others"
49,"Women clothes","Sleepwear & Pajamas","Kimonos & Robes","Others"
50,"Women clothes","Sleepwear & Pajamas","Others","Others"
51,"Women clothes","Maternity Wear","Nursing Bras","Others"
52,"Women clothes","Maternity Wear","Maternity Dresses","Others"
53,"Women clothes","Maternity Wear","Maternity Tops","Others"
54,"Women clothes","Maternity Wear","Breastfeeding Wear","Others"
55,"Women clothes","Maternity Wear","Maternity Sets","Others"
56,"Women clothes","Maternity Wear","Maternity Bottoms","Others"
57,"Women clothes","Maternity Wear","Others","Others"
58,"Women clothes","Traditional Wear","Tops","Others"
59,"Women clothes","Traditional Wear","Bottoms","Others"
60,"Women clothes","Traditional Wear","Sets","Others"
61,"Women clothes","Traditional Wear","Dresses","Others"
62,"Women clothes","Traditional Wear","Others","Others"
63,"Women clothes","Fabric","Batik","Others"
64,"Women clothes","Fabric","Kebaya","Others"
65,"Women clothes","Fabric","Cotton","Others"
66,"Women clothes","Fabric","Wool","Others"
67,"Women clothes","Fabric","Velvet, Silk & Satin","Others"
68,"Women clothes","Fabric","Leather","Others"
69,"Women clothes","Fabric","Vinyl & Nylon","Others"
70,"Women clothes","Fabric","Denim","Others"
71,"Women clothes","Fabric","Canvas","Others"
72,"Women clothes","Fabric","Kain Pasang","Others"
73,"Women clothes","Fabric","Songket","Others"
74,"Women clothes","Fabric","Others","Others"
75,"Men's clothes","Jeans","Socks","Others"
76,"Men's clothes","Jeans","Pantyhose","Others"
77,"Men's clothes","Jeans","Others","Others"
78,"Men's clothes","Hoodies & Sweatshirts","Hoodies","Others"
79,"Men's clothes","Hoodies & Sweatshirts","Sweatshirts","Others"
80,"Men's clothes","Hoodies & Sweatshirts","Others","Others"
81,"Men's clothes","Jackets, Coats & Vests","Winter Jackets & Coats","Others"
82,"Men's clothes","Jackets, Coats & Vests","Jackets","Others"
83,"Men's clothes","Jackets, Coats & Vests","Vests","Others"
84,"Men's clothes","Jackets, Coats & Vests","Others","Others"
85,"Men's clothes","Suits","Suit Sets","Others"
86,"Men's clothes","Suits","Suit Jackets & Blazers","Others"
87,"Men's clothes","Suits","Suit Pants","Others"
88,"Men's clothes","Suits","Suit Vests & Waistcoats","Others"
89,"Men's clothes","Suits","Others","Others"
90,"Men's clothes","Pants","Cargo","Others"
91,"Men's clothes","Pants","Joggers","Others"
92,"Men's clothes","Pants","Pants","Others"
93,"Men's clothes","Pants","Others","Others"
94,"Men's clothes","Tops","Shirts","Others"
95,"Men's clothes","Tops","Polo Shirts","Others"
96,"Men's clothes","Tops","T-Shirts","Others"
97,"Men's clothes","Tops","Tanks","Others"
98,"Men's clothes","Tops","Others","Others"
99,"Men's clothes","Innerwear & Underwear","Underwear","Others"
100,"Men's clothes","Innerwear & Underwear","Undershirts","Others"
101,"Men's clothes","Innerwear & Underwear","Thermal Innerwear","Others"
102,"Men's clothes","Innerwear & Underwear","Others","Others"
103,"Men's clothes","Traditional Wear","Tops","Others"
104,"Men's clothes","Traditional Wear","Bottoms","Others"
105,"Men's clothes","Traditional Wear","Sets","Others"
106,"Men's clothes","Traditional Wear","Others","Others"
107,"Beauty","Hand, Foot & Nail Care","Hand Care","Hand Masks"
108,"Beauty","Hand, Foot & Nail Care","Hand Care","Lotion, Cream & Scrubs"
109,"Beauty","Hand, Foot & Nail Care","Hand Care","Hand Washes"
110,"Beauty","Hand, Foot & Nail Care","Hand Care","Others"
111,"Beauty","Hand, Foot & Nail Care","Foot Care","Foot Deodorant"
112,"Beauty","Hand, Foot & Nail Care","Foot Care","Foot Masks"
113,"Beauty","Hand, Foot & Nail Care","Foot Care","Lotion, Cream & Scrubs"
114,"Beauty","Hand, Foot & Nail Care","Foot Care","Others"
115,"Beauty","Hand, Foot & Nail Care","Nail Care","Base & Top Coat"
116,"Beauty","Hand, Foot & Nail Care","Nail Care","Nail Polish"
117,"Beauty","Hand, Foot & Nail Care","Nail Care","Nail Polish Remover"
118,"Beauty","Hand, Foot & Nail Care","Nail Care","Nail Treatment"
119,"Beauty","Hand, Foot & Nail Care","Nail Care","Artificial Nail"
120,"Beauty","Hand, Foot & Nail Care","Nail Care","Nail Art & Sticker"
121,"Beauty","Hand, Foot & Nail Care","Nail Care","Manicure Tools & Devices"
122,"Beauty","Hand, Foot & Nail Care","Nail Care","Others"
123,"Beauty","Hand, Foot & Nail Care","Nail Care","Nail Gel"
124,"Beauty","Hand, Foot & Nail Care","Others","Others"
125,"Beauty","Hair Care","Shampoo","Others"
126,"Beauty","Hair Care","Hair Colour","Others"
127,"Beauty","Hair Care","Hair Treatment","Others"
128,"Beauty","Hair Care","Hair and Scalp Conditioner","Others"
129,"Beauty","Hair Care","Hair Styling","Others"
130,"Beauty","Hair Care","Others","Others"
131,"Beauty","Men's Care","Bath & Body Care","Others"
132,"Beauty","Men's Care","Skincare","Facial Cleanser"
133,"Beauty","Men's Care","Skincare","Moisturizer & Treatment"
134,"Beauty","Men's Care","Skincare","Others"
135,"Beauty","Men's Care","Shaving & Grooming","Aftershave"
136,"Beauty","Men's Care","Shaving & Grooming","Creams, Foams & Gels"
137,"Beauty","Men's Care","Shaving & Grooming","Razors & Blades"
138,"Beauty","Men's Care","Shaving & Grooming","Shavers"
139,"Beauty","Men's Care","Shaving & Grooming","Shaving Brushes"
140,"Beauty","Men's Care","Shaving & Grooming","Trimmers, Clippers & Multi-functional Groomers"
141,"Beauty","Men's Care","Shaving & Grooming","Shaving Accessories"
142,"Beauty","Men's Care","Shaving & Grooming","Others"
143,"Beauty","Men's Care","Hair Care","Others"
144,"Beauty","Men's Care","Others","Others"
145,"Health","Food Supplement","Weight Management","Others"
146,"Health","Food Supplement","Beauty Supplements","Others"
147,"Health","Food Supplement","Fitness","Others"
148,"Health","Food Supplement","Well Being","Others"
149,"Health","Food Supplement","Others","Others"
150,"Health","Medical Supplies","Traditional Medicine","Others"
151,"Health","Medical Supplies","Health Monitors & Tests","Blood Pressure Monitors"
152,"Health","Medical Supplies","Health Monitors & Tests","Blood Glucose Monitors"
153,"Health","Medical Supplies","Health Monitors & Tests","Pulse Oximeters"
154,"Health","Medical Supplies","Health Monitors & Tests","Thermometers"
155,"Health","Medical Supplies","Health Monitors & Tests","Others"
156,"Health","Medical Supplies","Scale & Body Fat Analyzers","Others"
157,"Health","Medical Supplies","Nasal Care","Others"
158,"Health","Medical Supplies","First Aid Supplies","Plasters & Bandages"
159,"Health","Medical Supplies","First Aid Supplies","First Aid Accessories"
160,"Health","Medical Supplies","First Aid Supplies","Ointments & Creams"
161,"Health","Medical Supplies","First Aid Supplies","Medical Antiseptics & Disinfectants"
162,"Health","Medical Supplies","First Aid Supplies","Others"
163,"Health","Medical Supplies","Stethoscopes","Others"
164,"Health","Medical Supplies","Pain Relievers","Others"
165,"Health","Medical Supplies","Laboratory Tools","Others"
166,"Health","Medical Supplies","Medical Gloves & Masks","Others"
167,"Health","Medical Supplies","Injury & Disability Support","Walking Aids"
