model,pk,sub_category,name,vendor,slug
category.fourth_level_category,136,380,Beans & Grains,1,beans-&-grains
category.fourth_level_category,137,380,Dried Seafood,1,dried-seafood
category.fourth_level_category,138,380,Traditional Herbs,1,traditional-herbs
category.fourth_level_category,139,380,Others,1,others
category.fourth_level_category,140,385,Canned Fruits,1,canned-fruits
category.fourth_level_category,141,385,Canned Meat,1,canned-meat
category.fourth_level_category,142,385,Canned Seafood,1,canned-seafood
category.fourth_level_category,143,385,Canned Vegetables,1,canned-vegetables
category.fourth_level_category,144,385,Canned Soup,1,canned-soup
category.fourth_level_category,145,385,Others,1,others
category.fourth_level_category,146,388,Pepper,1,pepper
category.fourth_level_category,147,388,Salt,1,salt
category.fourth_level_category,148,388,Herbs & Spices,1,herbs-&-spices
category.fourth_level_category,149,388,Sauce,1,sauce
category.fourth_level_category,150,388,Chilli & Sambal,1,chilli-&-sambal
category.fourth_level_category,151,388,Vinegar,1,vinegar
category.fourth_level_category,152,388,Cooking Wine,1,cooking-wine
category.fourth_level_category,153,388,Dressing,1,dressing
category.fourth_level_category,154,388,Others,1,others
category.fourth_level_category,155,422,Fresh Milk,1,fresh-milk
category.fourth_level_category,156,422,UHT Milk,1,uht-milk
category.fourth_level_category,157,422,Condensed & Evaporated Milk,1,condensed-&-evaporated-milk
category.fourth_level_category,158,422,Powdered Milk,1,powdered-milk
category.fourth_level_category,159,422,Others,1,others
category.fourth_level_category,160,431,Beef,1,beef
category.fourth_level_category,161,431,Poultry,1,poultry
category.fourth_level_category,162,431,Pork,1,pork
category.fourth_level_category,163,431,Lamb,1,lamb
category.fourth_level_category,164,431,Others,1,others
category.fourth_level_category,165,432,Fish,1,fish
category.fourth_level_category,166,432,Prawn,1,prawn
category.fourth_level_category,167,432,Crab,1,crab
category.fourth_level_category,168,432,Others,1,others
category.fourth_level_category,169,435,Cabbage & Brussel Sprouts,1,cabbage-&-brussel-sprouts
category.fourth_level_category,170,435,Fresh Herbs,1,fresh-herbs
category.fourth_level_category,171,435,Leafy Vegetables,1,leafy-vegetables
category.fourth_level_category,172,435,"Brinjals, Gourds & Squashes",1,brinjals-gourds-&-squashes
category.fourth_level_category,173,435,Broccoli & Cauliflowers,1,broccoli-&-cauliflowers
category.fourth_level_category,174,435,Chilli & Capsicum,1,chilli-&-capsicum
category.fourth_level_category,175,435,"Garlic, Ginger & Onion",1,garlic-ginger-&-onion
category.fourth_level_category,176,435,"Peas, Beans, Nuts & Corn",1,peas-beans-nuts-&-corn
category.fourth_level_category,177,435,Root & Stem Vegetables,1,root-&-stem-vegetables
category.fourth_level_category,178,435,Sprouts,1,sprouts
