model,pk,main_category,name,slug
category.category,1,6,Tops,tops
category.category,2,2,Sneakers,sneakers
category.category,3,3,Furniture,furniture
category.category,4,1,Pants & leggings,pant-and-leggings
category.category,6,5,Makeup,makeup
category.category,7,1,Tops,tops
category.category,8,1,Pants & Leggings,pants and leggings
category.category,9,1,Shorts,shorts
category.category,10,1,Skirts,skirts
category.category,11,1,Jeans,jeans
category.category,12,1,Dresses,dresses
category.category,13,1,Wedding Dresses,wedding-dresses
category.category,14,1,"Jumpsuits, Playsuits & Overalls",jumpsuits-playsuits-and-overalls
category.category,15,1,"Jackets, Coats & Vests",jackets-coats-and-vests
category.category,16,1,Sweaters & Cardigans,sweaters-and-cardigans
category.category,17,1,Sets,sets
category.category,18,1,Lingerie & Underwear,lingerie-and-underwear
category.category,19,1,Sleepwear & Pajamas,sleepwear-and-pajamas
category.category,20,1,Maternity Wear,maternity-wear
category.category,21,1,Traditional Wear,traditional-wear
category.category,22,1,Costumes,costumes
category.category,23,1,Fabric,fabric
category.category,24,6,Jeans,jeans
category.category,25,6,Hoodies & Sweatshirts,hoodies-and-sweatshirts
category.category,26,6,Sweaters & Cardigans,sweaters-and-cardigans
category.category,27,6,"Jackets, Coats & Vests",jackets-coats-and-vests
category.category,28,6,Suits,suits
category.category,29,6,Pants,pants
category.category,30,6,Shorts,shorts
category.category,31,6,Tops,tops
category.category,32,6,Innerwear & Underwear,innerwear-and-underwear
category.category,33,6,Sleepwear,sleepwear
category.category,34,6,Sets,sets
category.category,35,6,Traditional Wear,traditional-wear
category.category,36,6,Costumes,costumes
category.category,37,6,Occupational Attire,occupational-attire
category.category,38,6,Others,others
category.category,39,5,"Hand, Foot & Nail Care",hand-foot-and-nail-care
category.category,40,5,Hair Care,hair-care
category.category,41,5,Men's Care,mens-care
category.category,42,5,Perfumes & Fragrances,perfumes-and-fragrances
category.category,43,5,Makeup,makeup
category.category,44,5,Beauty Tools,beauty-tools
category.category,45,5,Skincare,skincare
category.category,46,5,Beauty Sets & Packages,beauty-sets-and-packages
category.category,47,5,Others,others
category.category,48,5,Bath & Body Care,bath-and-body-care
category.category,49,7,Food Supplement,food-supplement
category.category,50,7,Others,others
category.category,51,7,Medical Supplies,medical-supplies
category.category,52,7,Personal Care,personal-care
category.category,53,7,Sexual Wellness,sexual-wellness
category.category,54,8,Rings,rings
category.category,55,8,Earrings,earrings
category.category,56,8,Scarves & Shawls,scarves-and-shawls
category.category,57,8,Gloves,gloves
category.category,58,8,Hair Accessories,hair-accessories
category.category,59,8,Bracelets & Bangles,bracelets-and-bangles
category.category,60,8,Anklets,anklets
category.category,61,8,Hats & Caps,hats-and-caps
category.category,62,8,Necklaces,necklaces
category.category,63,8,Eyewear,eyewear
category.category,64,8,Investment Precious Metals,investment-precious-metals
category.category,65,8,Belts,belts
category.category,66,8,"Neckties, Bow Ties & Cravats",neckties-bow-ties-and-cravats
category.category,67,8,Additional Accessories,additional-accessories
category.category,68,8,Accessories Sets & Packages,accessories-sets-and-packages
category.category,69,8,Others,others
category.category,70,9,Projectors & Accessories,projectors-and-accessories
category.category,71,9,Small Household Appliances,small-household-appliances
category.category,72,9,Large Household Appliances,large-household-appliances
category.category,73,9,TVs & Accessories,tvs-and-accessories
category.category,74,9,Kitchen Appliances,kitchen-appliances
category.category,75,9,Electrical Circuitry & Parts,electrical-circuitry-and-parts
category.category,76,9,Batteries,batteries
category.category,77,9,Remote Controls,remote-controls
category.category,78,9,Others,others
category.category,79,10,Boots,boots
category.category,80,10,Sneakers,sneakers
category.category,81,10,Slip Ons & Mules,slip-ons-and-mules
category.category,82,10,Loafers & Boat Shoes,loafers-and-boat-shoes
category.category,83,10,Oxfords & Lace-Ups,oxfords-and-lace-ups
category.category,84,10,Sandals & Flip Flops,sandals-and-flip-flops
category.category,85,10,Shoe Care & Accessories,shoe-care-and-accessories
category.category,86,10,Others,others
category.category,87,10,Batteries,batteries
category.category,88,10,Remote Controls,remote-controls
category.category,89,10,Others,others
category.category,90,11,Sim Cards,sim-cards
category.category,91,11,Tablets,tablets
category.category,92,11,Mobile Phones,mobile-phones
category.category,93,11,Wearable Devices,wearable-devices
category.category,94,11,Accessories,accessories
category.category,95,11,Walkie Talkies,walkie-talkies
category.category,96,11,Others,others
category.category,97,12,Women Muslim Wear,women-muslim-wear
category.category,98,12,Prayer Attire & Equipment,prayer-attire-and-equipment
category.category,99,12,Men Muslim Wear,men-muslim-wear
category.category,100,12,Kid Muslim Wear,kid-muslim-wear
category.category,101,12,Outerwear,outerwear
