model,pk,sub_category,name,slug,pk
category.fourth_level_category,1,1,Others,others,1
category.fourth_level_category,2,2,Others,others,2
category.fourth_level_category,3,3,Others,others,3
category.fourth_level_category,4,4,Others,others,4
category.fourth_level_category,6,6,Others,others,6
category.fourth_level_category,7,7,Others,others,7
category.fourth_level_category,8,8,Others,others,8
category.fourth_level_category,9,9,Others,others,9
category.fourth_level_category,10,10,Others,others,10
category.fourth_level_category,11,11,Others,others,11
category.fourth_level_category,12,12,Others,others,12
category.fourth_level_category,13,13,Others,others,13
category.fourth_level_category,14,14,Others,others,14
category.fourth_level_category,15,15,Others,others,15
category.fourth_level_category,16,16,Others,others,16
category.fourth_level_category,17,17,Others,others,17
category.fourth_level_category,18,18,Others,others,18
category.fourth_level_category,19,19,Others,others,19
category.fourth_level_category,20,20,Others,others,20
category.fourth_level_category,21,21,Others,others,21
category.fourth_level_category,22,22,Others,others,22
category.fourth_level_category,23,23,Others,others,23
category.fourth_level_category,24,24,Others,others,24
category.fourth_level_category,25,25,Others,others,25
category.fourth_level_category,26,26,Others,others,26
category.fourth_level_category,27,27,Others,others,27
category.fourth_level_category,28,28,Others,others,28
category.fourth_level_category,29,29,Others,others,29
category.fourth_level_category,30,30,Others,others,30
category.fourth_level_category,31,31,Others,others,31
category.fourth_level_category,32,32,Others,others,32
category.fourth_level_category,33,33,Others,others,33
category.fourth_level_category,34,34,Others,others,34
category.fourth_level_category,35,35,Others,others,35
category.fourth_level_category,36,36,Straps,straps,36
category.fourth_level_category,37,36,Paddings,paddings,37
category.fourth_level_category,38,36,Nipple Stickers,nipple-stickers,38
category.fourth_level_category,39,36,Others,others,39
category.fourth_level_category,40,37,Others,others,40
category.fourth_level_category,41,38,Others,others,41
category.fourth_level_category,42,39,Others,others,42
category.fourth_level_category,43,40,Others,others,43
category.fourth_level_category,44,41,Others,others,44
category.fourth_level_category,45,42,Others,others,45
category.fourth_level_category,46,43,Others,others,46
category.fourth_level_category,47,44,Others,others,47
category.fourth_level_category,48,45,Others,others,48
category.fourth_level_category,49,46,Others,others,49
category.fourth_level_category,50,47,Others,others,50
category.fourth_level_category,51,48,Others,others,51
category.fourth_level_category,52,49,Others,others,52
category.fourth_level_category,53,50,Others,others,53
category.fourth_level_category,54,51,Others,others,54
category.fourth_level_category,55,52,Others,others,55
category.fourth_level_category,56,53,Others,others,56
category.fourth_level_category,57,54,Others,others,57
category.fourth_level_category,58,55,Others,others,58
category.fourth_level_category,59,56,Others,others,59
category.fourth_level_category,60,57,Others,others,60
category.fourth_level_category,61,58,Others,others,61
category.fourth_level_category,62,59,Others,others,62
category.fourth_level_category,63,60,Others,others,63
category.fourth_level_category,64,61,Others,others,64
category.fourth_level_category,65,62,Others,others,65
category.fourth_level_category,66,63,Others,others,66
category.fourth_level_category,67,64,Others,others,67
category.fourth_level_category,68,65,Others,others,68
category.fourth_level_category,69,66,Others,others,69
category.fourth_level_category,70,67,Others,others,70
category.fourth_level_category,71,68,Others,others,71
category.fourth_level_category,72,69,Others,others,72
category.fourth_level_category,73,70,Others,others,73
category.fourth_level_category,74,71,Others,others,74
category.fourth_level_category,75,72,Others,others,75
category.fourth_level_category,76,73,Others,others,76
category.fourth_level_category,77,74,Others,others,77
category.fourth_level_category,78,75,Others,others,78
category.fourth_level_category,79,76,Others,others,79
category.fourth_level_category,80,77,Others,others,80
category.fourth_level_category,81,78,Others,others,81
category.fourth_level_category,82,79,Others,others,82
category.fourth_level_category,83,80,Others,others,83
category.fourth_level_category,84,81,Others,others,84
category.fourth_level_category,85,82,Others,others,85
category.fourth_level_category,86,83,Others,others,86
category.fourth_level_category,87,84,Others,others,87
category.fourth_level_category,88,85,Others,others,88
category.fourth_level_category,89,86,Others,others,89
category.fourth_level_category,90,87,Others,others,90
category.fourth_level_category,91,88,Others,others,91
category.fourth_level_category,92,89,Others,others,92
category.fourth_level_category,93,90,Others,others,93
category.fourth_level_category,94,91,Others,others,94
category.fourth_level_category,95,92,Others,others,95
category.fourth_level_category,96,93,Others,others,96
category.fourth_level_category,97,94,Others,others,97
category.fourth_level_category,98,95,Others,others,98
category.fourth_level_category,99,96,Others,others,99
category.fourth_level_category,100,97,Others,others,100
category.fourth_level_category,101,98,Others,others,101
category.fourth_level_category,102,99,Others,others,102
category.fourth_level_category,103,100,Others,others,103
category.fourth_level_category,104,101,Others,others,104
category.fourth_level_category,105,102,Others,others,105
category.fourth_level_category,106,103,Others,others,106
category.fourth_level_category,107,104,Hand Masks,hand-masks,107
category.fourth_level_category,108,104,"Lotion, Cream & Scrubs",lotion-cream-scrubs,108
category.fourth_level_category,109,104,Hand Washes,hand-washes,109
category.fourth_level_category,110,104,Others,others,110
category.fourth_level_category,111,105,Foot Deodorant,foot-deodorant,111
category.fourth_level_category,112,105,Foot Masks,foot-masks,112
category.fourth_level_category,113,105,"Lotion, Cream & Scrubs",lotion-cream-scrubs,113
category.fourth_level_category,114,105,Others,others,114
category.fourth_level_category,115,106,Base & Top Coat,base-top-coat,115
category.fourth_level_category,116,106,Nail Polish,nail-polish,116
category.fourth_level_category,117,106,Nail Polish Remover,nail-polish-remover,117
category.fourth_level_category,118,106,Nail Treatment,nail-treatment,118
category.fourth_level_category,119,106,Artificial Nail,artificial-nail,119
category.fourth_level_category,120,106,Nail Art & Sticker,nail-art-sticker,120
category.fourth_level_category,121,106,Manicure Tools & Devices,manicure-tools-devices,121
category.fourth_level_category,122,106,Others,others,122
category.fourth_level_category,123,106,Nail Gel,nail-gel,123
category.fourth_level_category,124,107,Others,others,124
category.fourth_level_category,125,108,Others,others,125
category.fourth_level_category,126,109,Others,others,126
category.fourth_level_category,127,110,Others,others,127
category.fourth_level_category,128,111,Others,others,128
category.fourth_level_category,129,112,Others,others,129
category.fourth_level_category,130,113,Others,others,130
category.fourth_level_category,131,114,Others,others,131
category.fourth_level_category,132,115,Facial Cleanser,facial-cleanser,132
category.fourth_level_category,133,115,Moisturizer & Treatment,moisturizer-treatment,133
category.fourth_level_category,134,115,Others,others,134
category.fourth_level_category,135,116,Aftershave,aftershave,135
category.fourth_level_category,136,116,"Creams, Foams & Gels",creams-foams-gels,136
category.fourth_level_category,137,116,Razors & Blades,razors-blades,137
category.fourth_level_category,138,116,Shavers,shavers,138
category.fourth_level_category,139,116,Shaving Brushes,shaving-brushes,139
category.fourth_level_category,140,116,"Trimmers, Clippers & Multi-functional Groomers",trimmers-clippers-multi-functional-groomers,140
category.fourth_level_category,141,116,Shaving Accessories,shaving-accessories,141
category.fourth_level_category,142,116,Others,others,142
category.fourth_level_category,143,117,Others,others,143
category.fourth_level_category,144,118,Others,others,144
category.fourth_level_category,145,119,Others,others,145
category.fourth_level_category,146,120,Others,others,146
category.fourth_level_category,147,121,Others,others,147
category.fourth_level_category,148,122,Others,others,148
category.fourth_level_category,149,123,Others,others,149
category.fourth_level_category,150,124,Others,others,150
category.fourth_level_category,151,125,Blood Pressure Monitors,blood-pressure-monitors,151
category.fourth_level_category,152,125,Blood Glucose Monitors,blood-glucose-monitors,152
category.fourth_level_category,153,125,Pulse Oximeters,pulse-oximeters,153
category.fourth_level_category,154,125,Thermometers,thermometers,154
category.fourth_level_category,155,125,Others,others,155
category.fourth_level_category,156,126,Others,others,156
category.fourth_level_category,157,127,Others,others,157
category.fourth_level_category,158,128,Plasters & Bandages,plasters-bandages,158
category.fourth_level_category,159,128,First Aid Accessories,first-aid-accessories,159
category.fourth_level_category,160,128,Ointments & Creams,ointments-creams,160
category.fourth_level_category,161,128,Medical Antiseptics & Disinfectants,medical-antiseptics-disinfectants,161
category.fourth_level_category,162,128,Others,others,162
category.fourth_level_category,163,129,Others,others,163
category.fourth_level_category,164,130,Others,others,164
category.fourth_level_category,165,131,Others,others,165
category.fourth_level_category,166,132,Others,others,166
category.fourth_level_category,167,133,Walking Aids,walking-aids,167
category.fourth_level_category,168,133,Wheelchairs,wheelchairs,168
category.fourth_level_category,169,133,Braces & Supports,braces-supports,169
category.fourth_level_category,170,133,Hearing Aids,hearing-aids,170
category.fourth_level_category,171,133,Others,others,171
category.fourth_level_category,172,134,Others,others,172
category.fourth_level_category,173,135,Others,others,173
category.fourth_level_category,174,136,Contact lens,contact-lens,174
category.fourth_level_category,175,136,Lens Solutions & Eyedrops,lens-solutions-eyedrops,175
category.fourth_level_category,176,136,Others,others,176
category.fourth_level_category,177,137,Others,others,177
category.fourth_level_category,178,138,Manual Toothbrushes,manual-toothbrushes,178
category.fourth_level_category,179,138,Electric Toothbrushes & Accessories,electric-toothbrushes-accessories,179
category.fourth_level_category,180,138,Toothpastes,toothpastes,180
category.fourth_level_category,181,138,Dental Floss,dental-floss,181
category.fourth_level_category,182,138,Mouth Wash,mouth-wash,182
category.fourth_level_category,183,138,Denture Care,denture-care,183
category.fourth_level_category,184,138,Teeth Whitening,teeth-whitening,184
category.fourth_level_category,185,138,Orthodontic Accessories,orthodontic-accessories,185
category.fourth_level_category,186,138,Others,others,186
