model,pk,category,name,slug
category.sub_category,1,1,T-shirts,t-shirt
category.sub_category,2,2,Sneakers,sneakers-keds
category.sub_category,3,3,"Benches, chairs & stools",bean-bag-chairs
category.sub_category,4,4,Pants,pants
category.sub_category,6,6,Lips,mate-lipstick
category.sub_category,7,2,Girl,girls-shoe
category.sub_category,8,7,Tanks & Camisoles,tanks-and-camisoles
category.sub_category,9,7,Tube Tops,tube-tops
category.sub_category,10,7,T-shirts,t-shirts
category.sub_category,11,7,Bodysuits,bodysuits
category.sub_category,12,7,Others,others
category.sub_category,13,8,Leggings & Treggings,leggings-and-treggings
category.sub_category,14,8,Pants,pants
category.sub_category,15,8,Others,others
category.sub_category,16,9,Shorts,shorts
category.sub_category,17,9,Skorts,skorts
category.sub_category,18,14,Jumpsuits,jumpsuits
category.sub_category,19,14,Playsuits,playsuits
category.sub_category,20,14,Overall,overall
category.sub_category,21,14,Others,others
category.sub_category,22,15,Winter Jackets & Coats,winter-jackets-and-coats
category.sub_category,23,15,Capes,capes
category.sub_category,24,15,Blazers,blazers
category.sub_category,25,15,Jackets,jackets
category.sub_category,26,15,Vests,vests
category.sub_category,27,15,Others,others
category.sub_category,28,16,Sweatshirts,sweatshirts
category.sub_category,29,16,Hoodies,hoodies
category.sub_category,30,16,Others,others
category.sub_category,31,17,Couple Sets,couple-sets
category.sub_category,32,17,Family Sets,family-sets
category.sub_category,33,17,Individual Sets,individual-sets
category.sub_category,34,17,Others,others
category.sub_category,35,18,Sets,sets
category.sub_category,36,18,Bras,bras
category.sub_category,37,18,Panties,panties
category.sub_category,38,18,Thermal Innerwear,thermal-innerwear
category.sub_category,39,18,Bra Accessories,bra-accessories
category.sub_category,40,18,Shapewear,shapewear
category.sub_category,41,18,Safety Pants,safety-pants
category.sub_category,42,18,Sexy Lingerie,sexy-lingerie
category.sub_category,43,18,Others,others
category.sub_category,44,19,Pajamas,pajamas
category.sub_category,45,19,Night Dresses,night-dresses
category.sub_category,46,19,Kimonos & Robes,kimonos-and-robes
category.sub_category,47,19,Others,others
category.sub_category,48,20,Nursing Bras,nursing-bras
category.sub_category,49,20,Maternity Dresses,maternity-dresses
category.sub_category,50,20,Maternity Tops,maternity-tops
category.sub_category,51,20,Breastfeeding Wear,breastfeeding-wear
category.sub_category,52,20,Maternity Sets,maternity-sets
category.sub_category,53,20,Maternity Bottoms,maternity-bottoms
category.sub_category,54,20,Others,others
category.sub_category,55,21,Tops,tops
category.sub_category,56,21,Bottoms,bottoms
category.sub_category,57,21,Sets,sets
category.sub_category,58,21,Dresses,dresses
category.sub_category,59,21,Others,others
category.sub_category,60,23,Batik,batik
category.sub_category,61,23,Kebaya,kebaya
category.sub_category,62,23,Cotton,cotton
category.sub_category,63,23,Wool,wool
category.sub_category,64,23,"Velvet, Silk & Satin",velvet-silk-and-satin
category.sub_category,65,23,Leather,leather
category.sub_category,66,23,Vinyl & Nylon,vinyl-and-nylon
category.sub_category,67,23,Denim,denim
category.sub_category,68,23,Canvas,canvas
category.sub_category,69,23,Kain Pasang,kain-pasang
category.sub_category,70,23,Songket,songket
category.sub_category,71,23,Others,others
category.sub_category,72,24,Socks,socks
category.sub_category,73,24,Pantyhose,pantyhose
category.sub_category,74,24,Others,others
category.sub_category,75,25,Hoodies,hoodies
category.sub_category,76,25,Sweatshirts,sweatshirts
category.sub_category,77,25,Others,others
category.sub_category,78,27,Winter Jackets & Coats,winter-jackets-and-coats
category.sub_category,79,27,Jackets,jackets
category.sub_category,80,27,Vests,vests
category.sub_category,81,27,Others,others
category.sub_category,82,28,Suit Sets,suit-sets
category.sub_category,83,28,Suit Jackets & Blazers,suit-jackets-and-blazers
category.sub_category,84,28,Suit Pants,suit-pants
category.sub_category,85,28,Suit Vests & Waistcoats,suit-vests-and-waistcoats
category.sub_category,86,28,Others,others
category.sub_category,87,29,Cargo,cargo
category.sub_category,88,29,Joggers,joggers
category.sub_category,89,29,Pants,pants
category.sub_category,90,29,Others,others
category.sub_category,91,31,Shirts,shirts
category.sub_category,92,31,Polo Shirts,polo-shirts
